a_study,a_year,country,Q57_trust_people,Q58_trust_family,Q59_trust_neighborhood,Q60_trust_friends,Q61_trust_new_people,Q62_trust_people_another_religion,Q63_trust_foreigners,Q206_consume_internet,Q207_consume_socialmedia,Q240_placement_left_right,Q260_gender,Q262_age,Q263_native_Inmigrant
2,2020,GTM,2.0,2.0,3.0,3.0,2.0,3.0,3.0,5.0,4.0,7.0,2.0,22.0,1.0
2,2020,GTM,1.0,4.0,2.0,3.0,1.0,1.0,1.0,5.0,5.0,6.0,2.0,20.0,1.0
2,2020,GTM,1.0,4.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,2.0,24.0,1.0
2,2020,GTM,1.0,4.0,3.0,3.0,1.0,2.0,2.0,5.0,5.0,5.0,2.0,25.0,1.0
2,2020,GTM,1.0,3.0,2.0,3.0,2.0,2.0,2.0,5.0,5.0,5.0,2.0,22.0,1.0
2,2020,GTM,1.0,4.0,1.0,1.0,1.0,,2.0,5.0,5.0,5.0,2.0,23.0,1.0
2,2020,GTM,1.0,4.0,2.0,2.0,1.0,1.0,1.0,5.0,5.0,7.0,2.0,22.0,1.0
2,2020,GTM,1.0,4.0,1.0,3.0,1.0,1.0,1.0,5.0,5.0,5.0,2.0,21.0,1.0
2,2020,GTM,1.0,4.0,3.0,3.0,1.0,3.0,1.0,5.0,5.0,7.0,2.0,22.0,1.0
2,2020,GTM,1.0,4.0,2.0,3.0,2.0,2.0,2.0,4.0,5.0,1.0,2.0,25.0,1.0
2,2020,GTM,1.0,4.0,4.0,,2.0,2.0,2.0,5.0,5.0,5.0,2.0,26.0,1.0
2,2020,GTM,1.0,3.0,3.0,3.0,2.0,3.0,3.0,5.0,4.0,5.0,2.0,21.0,1.0
2,2020,GTM,1.0,4.0,3.0,3.0,1.0,3.0,3.0,4.0,4.0,8.0,2.0,27.0,1.0
2,2020,GTM,1.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,10.0,2.0,27.0,1.0
2,2020,GTM,1.0,4.0,1.0,3.0,1.0,3.0,1.0,5.0,5.0,5.0,2.0,29.0,1.0
2,2020,GTM,1.0,4.0,,4.0,2.0,2.0,3.0,4.0,4.0,7.0,2.0,21.0,1.0
2,2020,GTM,1.0,4.0,3.0,3.0,1.0,3.0,3.0,5.0,4.0,5.0,2.0,20.0,1.0
2,2020,GTM,1.0,4.0,2.0,3.0,1.0,3.0,2.0,5.0,5.0,10.0,2.0,28.0,1.0
2,2020,GTM,1.0,3.0,3.0,3.0,2.0,3.0,3.0,5.0,5.0,4.0,2.0,20.0,1.0
2,2020,GTM,1.0,4.0,2.0,3.0,1.0,2.0,2.0,5.0,5.0,5.0,2.0,25.0,1.0
2,2020,GTM,1.0,4.0,2.0,3.0,2.0,3.0,2.0,5.0,5.0,5.0,2.0,20.0,1.0
2,2020,GTM,1.0,4.0,3.0,2.0,2.0,2.0,2.0,5.0,5.0,6.0,2.0,24.0,1.0
2,2020,GTM,1.0,4.0,2.0,3.0,2.0,3.0,3.0,5.0,4.0,4.0,2.0,23.0,1.0
2,2020,GTM,1.0,3.0,3.0,3.0,1.0,1.0,1.0,5.0,5.0,10.0,2.0,20.0,1.0
2,2020,GTM,1.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,7.0,2.0,20.0,1.0
2,2020,GTM,1.0,3.0,3.0,3.0,3.0,3.0,3.0,,4.0,8.0,2.0,27.0,1.0
2,2020,GTM,1.0,4.0,2.0,4.0,1.0,1.0,1.0,4.0,5.0,10.0,2.0,27.0,1.0
2,2020,GTM,2.0,4.0,2.0,4.0,2.0,3.0,3.0,5.0,5.0,5.0,2.0,22.0,1.0
2,2020,GTM,1.0,4.0,2.0,2.0,1.0,1.0,1.0,5.0,5.0,9.0,2.0,28.0,1.0
2,2020,GTM,1.0,4.0,3.0,2.0,2.0,2.0,2.0,5.0,5.0,6.0,2.0,29.0,1.0
2,2020,GTM,1.0,4.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,10.0,2.0,21.0,1.0
2,2020,GTM,1.0,3.0,2.0,2.0,1.0,3.0,1.0,5.0,5.0,5.0,2.0,21.0,1.0
2,2020,GTM,1.0,4.0,2.0,3.0,2.0,1.0,1.0,5.0,5.0,5.0,2.0,24.0,1.0
2,2020,GTM,1.0,4.0,3.0,4.0,2.0,3.0,3.0,5.0,5.0,6.0,2.0,20.0,1.0
2,2020,GTM,1.0,4.0,2.0,3.0,1.0,2.0,2.0,5.0,5.0,5.0,2.0,23.0,1.0
2,2020,GTM,2.0,4.0,3.0,3.0,2.0,3.0,2.0,5.0,5.0,5.0,2.0,26.0,1.0
2,2020,GTM,1.0,4.0,3.0,3.0,2.0,3.0,2.0,5.0,5.0,9.0,2.0,22.0,1.0
2,2020,GTM,1.0,4.0,2.0,4.0,2.0,3.0,3.0,,5.0,5.0,2.0,22.0,1.0
2,2020,GTM,1.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,5.0,6.0,2.0,23.0,1.0
2,2020,GTM,1.0,4.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,8.0,2.0,19.0,1.0
2,2020,GTM,1.0,4.0,2.0,3.0,2.0,2.0,2.0,5.0,5.0,5.0,2.0,19.0,1.0
2,2020,GTM,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,5.0,2.0,19.0,1.0
2,2020,GTM,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,19.0,1.0
2,2020,GTM,1.0,4.0,,4.0,2.0,3.0,3.0,5.0,5.0,7.0,2.0,19.0,1.0
2,2020,GTM,1.0,4.0,2.0,3.0,1.0,2.0,2.0,5.0,5.0,6.0,2.0,18.0,1.0
2,2020,GTM,1.0,3.0,2.0,2.0,1.0,2.0,1.0,5.0,4.0,6.0,2.0,18.0,1.0
2,2020,GTM,1.0,4.0,2.0,3.0,1.0,2.0,2.0,5.0,5.0,6.0,2.0,18.0,1.0
2,2020,GTM,1.0,4.0,3.0,3.0,1.0,1.0,1.0,5.0,5.0,10.0,2.0,19.0,1.0
2,2020,GTM,1.0,3.0,1.0,2.0,1.0,2.0,2.0,5.0,5.0,10.0,2.0,19.0,1.0
2,2020,GTM,1.0,4.0,1.0,3.0,1.0,1.0,1.0,5.0,5.0,1.0,2.0,19.0,1.0
2,2020,GTM,1.0,4.0,2.0,4.0,1.0,1.0,1.0,5.0,5.0,10.0,2.0,19.0,1.0
2,2020,GTM,1.0,3.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,6.0,2.0,18.0,1.0
2,2020,GTM,1.0,4.0,2.0,3.0,2.0,2.0,2.0,5.0,5.0,6.0,2.0,19.0,1.0
2,2020,GTM,1.0,4.0,3.0,3.0,2.0,2.0,2.0,5.0,5.0,6.0,2.0,19.0,1.0
2,2020,GTM,1.0,2.0,2.0,3.0,2.0,2.0,2.0,5.0,5.0,6.0,2.0,19.0,1.0
2,2020,GTM,2.0,4.0,3.0,4.0,3.0,3.0,4.0,5.0,5.0,5.0,2.0,19.0,1.0
2,2020,GTM,1.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,5.0,1.0,2.0,19.0,1.0
2,2020,GTM,1.0,3.0,1.0,3.0,1.0,3.0,3.0,5.0,5.0,5.0,2.0,19.0,1.0
2,2020,GTM,1.0,4.0,3.0,3.0,2.0,2.0,2.0,4.0,4.0,10.0,2.0,18.0,1.0
2,2020,GTM,1.0,3.0,1.0,2.0,1.0,1.0,1.0,5.0,5.0,5.0,2.0,19.0,1.0
2,2020,GTM,1.0,4.0,3.0,3.0,2.0,3.0,2.0,5.0,5.0,9.0,2.0,19.0,1.0
2,2020,GTM,1.0,4.0,2.0,4.0,2.0,2.0,2.0,5.0,5.0,7.0,2.0,19.0,1.0
2,2020,GTM,1.0,4.0,2.0,3.0,3.0,3.0,3.0,5.0,5.0,10.0,2.0,18.0,1.0
2,2020,GTM,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,10.0,2.0,19.0,1.0
2,2020,GTM,1.0,4.0,3.0,3.0,2.0,2.0,2.0,5.0,5.0,8.0,2.0,19.0,1.0
2,2020,GTM,1.0,4.0,3.0,3.0,3.0,2.0,2.0,5.0,5.0,8.0,2.0,19.0,1.0
2,2020,GTM,1.0,4.0,2.0,4.0,2.0,2.0,3.0,5.0,5.0,5.0,2.0,19.0,1.0
2,2020,GTM,1.0,4.0,3.0,3.0,1.0,2.0,2.0,5.0,5.0,7.0,2.0,19.0,1.0
2,2020,GTM,1.0,4.0,2.0,3.0,1.0,1.0,1.0,5.0,5.0,8.0,2.0,19.0,1.0
2,2020,GTM,1.0,3.0,1.0,3.0,1.0,3.0,2.0,5.0,5.0,5.0,2.0,18.0,1.0
2,2020,GTM,1.0,4.0,3.0,3.0,2.0,2.0,2.0,5.0,5.0,5.0,2.0,19.0,1.0
2,2020,GTM,1.0,4.0,1.0,3.0,2.0,3.0,3.0,4.0,2.0,5.0,2.0,19.0,1.0
2,2020,GTM,1.0,4.0,2.0,3.0,2.0,2.0,2.0,5.0,5.0,5.0,2.0,18.0,1.0
2,2020,GTM,2.0,4.0,1.0,4.0,1.0,1.0,1.0,5.0,5.0,6.0,2.0,18.0,1.0
2,2020,GTM,1.0,4.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,6.0,2.0,18.0,1.0
2,2020,GTM,1.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,5.0,1.0,2.0,19.0,1.0
2,2020,GTM,2.0,4.0,3.0,3.0,2.0,2.0,3.0,5.0,5.0,5.0,2.0,19.0,1.0
2,2020,GTM,1.0,4.0,3.0,4.0,1.0,3.0,2.0,5.0,5.0,5.0,2.0,19.0,1.0
2,2020,GTM,2.0,3.0,2.0,2.0,2.0,2.0,2.0,5.0,,7.0,2.0,19.0,1.0
2,2020,GTM,1.0,4.0,1.0,2.0,2.0,2.0,2.0,5.0,5.0,1.0,2.0,18.0,1.0
2,2020,GTM,1.0,4.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,10.0,2.0,19.0,1.0
2,2020,GTM,1.0,4.0,2.0,3.0,1.0,3.0,3.0,5.0,5.0,8.0,2.0,19.0,1.0
2,2020,GTM,1.0,3.0,2.0,3.0,3.0,3.0,3.0,5.0,5.0,9.0,2.0,19.0,1.0
2,2020,GTM,1.0,3.0,2.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,2.0,18.0,1.0
2,2020,GTM,1.0,4.0,4.0,4.0,3.0,3.0,3.0,5.0,5.0,6.0,2.0,19.0,1.0
2,2020,GTM,2.0,4.0,3.0,4.0,3.0,4.0,2.0,4.0,4.0,5.0,2.0,19.0,1.0
2,2020,GTM,1.0,3.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,2.0,18.0,1.0
2,2020,GTM,1.0,4.0,2.0,2.0,1.0,2.0,2.0,4.0,5.0,10.0,2.0,19.0,1.0
2,2020,GTM,1.0,4.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,10.0,2.0,19.0,1.0
2,2020,GTM,1.0,4.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,2.0,19.0,1.0
2,2020,GTM,1.0,4.0,3.0,3.0,1.0,3.0,1.0,5.0,5.0,7.0,2.0,18.0,1.0
2,2020,GTM,2.0,4.0,2.0,4.0,2.0,3.0,2.0,5.0,5.0,2.0,2.0,19.0,1.0
2,2020,GTM,2.0,4.0,2.0,3.0,3.0,3.0,2.0,4.0,5.0,4.0,2.0,18.0,1.0
2,2020,GTM,1.0,4.0,4.0,4.0,1.0,1.0,1.0,5.0,5.0,10.0,2.0,19.0,1.0
2,2020,GTM,1.0,3.0,3.0,4.0,2.0,3.0,1.0,5.0,5.0,6.0,2.0,19.0,1.0
2,2020,GTM,2.0,3.0,2.0,4.0,2.0,3.0,2.0,5.0,5.0,5.0,2.0,19.0,1.0
2,2020,GTM,1.0,4.0,1.0,4.0,2.0,4.0,3.0,5.0,5.0,5.0,2.0,18.0,1.0
2,2020,GTM,1.0,4.0,,2.0,,,,3.0,3.0,7.0,2.0,19.0,1.0
2,2020,GTM,1.0,4.0,3.0,3.0,2.0,2.0,2.0,5.0,5.0,5.0,2.0,19.0,1.0
2,2020,GTM,2.0,3.0,2.0,3.0,2.0,2.0,2.0,5.0,5.0,9.0,2.0,18.0,1.0
2,2020,GTM,1.0,4.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,10.0,2.0,19.0,1.0
2,2020,GTM,1.0,4.0,2.0,3.0,2.0,2.0,2.0,5.0,5.0,6.0,2.0,19.0,1.0
2,2020,GTM,1.0,4.0,3.0,3.0,1.0,2.0,2.0,5.0,5.0,5.0,2.0,19.0,1.0
2,2020,GTM,2.0,4.0,3.0,4.0,3.0,3.0,4.0,5.0,5.0,8.0,2.0,45.0,1.0
2,2020,GTM,2.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,6.0,2.0,49.0,1.0
2,2020,GTM,1.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,5.0,2.0,46.0,1.0
2,2020,GTM,1.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,5.0,7.0,2.0,40.0,1.0
2,2020,GTM,2.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,2.0,41.0,1.0
2,2020,GTM,2.0,4.0,1.0,1.0,1.0,2.0,1.0,5.0,5.0,5.0,2.0,40.0,1.0
2,2020,GTM,1.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,5.0,7.0,2.0,40.0,1.0
2,2020,GTM,1.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,5.0,2.0,40.0,1.0
2,2020,GTM,1.0,3.0,1.0,3.0,2.0,3.0,3.0,5.0,5.0,5.0,2.0,45.0,1.0
2,2020,GTM,1.0,4.0,3.0,4.0,1.0,2.0,3.0,,4.0,5.0,2.0,44.0,1.0
2,2020,GTM,1.0,4.0,2.0,2.0,1.0,1.0,3.0,,5.0,10.0,2.0,40.0,1.0
2,2020,GTM,2.0,4.0,3.0,2.0,2.0,2.0,2.0,5.0,5.0,7.0,2.0,41.0,1.0
2,2020,GTM,1.0,4.0,2.0,3.0,1.0,1.0,1.0,5.0,5.0,7.0,2.0,41.0,1.0
2,2020,GTM,1.0,4.0,1.0,3.0,2.0,3.0,3.0,5.0,1.0,6.0,2.0,48.0,1.0
2,2020,GTM,2.0,3.0,3.0,4.0,2.0,3.0,2.0,5.0,5.0,8.0,2.0,42.0,1.0
2,2020,GTM,1.0,4.0,3.0,3.0,1.0,3.0,3.0,,4.0,5.0,2.0,48.0,1.0
2,2020,GTM,1.0,4.0,3.0,4.0,2.0,3.0,3.0,4.0,4.0,5.0,2.0,47.0,1.0
2,2020,GTM,1.0,3.0,1.0,2.0,1.0,1.0,1.0,5.0,5.0,5.0,2.0,42.0,1.0
2,2020,GTM,1.0,4.0,2.0,3.0,2.0,3.0,2.0,4.0,5.0,5.0,2.0,46.0,1.0
2,2020,GTM,2.0,4.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,5.0,2.0,43.0,1.0
2,2020,GTM,2.0,4.0,1.0,4.0,3.0,3.0,3.0,5.0,5.0,5.0,2.0,48.0,1.0
2,2020,GTM,1.0,4.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,5.0,2.0,47.0,1.0
2,2020,GTM,1.0,4.0,2.0,3.0,2.0,3.0,2.0,5.0,5.0,5.0,2.0,49.0,1.0
2,2020,GTM,1.0,4.0,2.0,3.0,2.0,3.0,3.0,5.0,5.0,6.0,2.0,45.0,1.0
2,2020,GTM,1.0,3.0,1.0,2.0,1.0,2.0,1.0,5.0,5.0,5.0,2.0,48.0,1.0
2,2020,GTM,1.0,4.0,3.0,3.0,2.0,2.0,1.0,5.0,5.0,4.0,2.0,48.0,1.0
2,2020,GTM,1.0,3.0,3.0,2.0,1.0,1.0,1.0,5.0,5.0,8.0,2.0,45.0,1.0
2,2020,GTM,1.0,4.0,3.0,2.0,1.0,3.0,2.0,2.0,5.0,5.0,2.0,48.0,1.0
2,2020,GTM,1.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,5.0,2.0,42.0,1.0
2,2020,GTM,1.0,3.0,3.0,3.0,1.0,2.0,2.0,3.0,4.0,4.0,2.0,41.0,1.0
2,2020,GTM,1.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,2.0,47.0,1.0
2,2020,GTM,1.0,4.0,2.0,3.0,2.0,3.0,2.0,5.0,5.0,10.0,2.0,43.0,1.0
2,2020,GTM,2.0,4.0,4.0,4.0,2.0,4.0,4.0,5.0,5.0,10.0,2.0,40.0,1.0
2,2020,GTM,1.0,4.0,3.0,3.0,2.0,2.0,2.0,5.0,5.0,3.0,2.0,45.0,1.0
2,2020,GTM,1.0,4.0,3.0,4.0,3.0,,,4.0,4.0,1.0,2.0,40.0,1.0
2,2020,GTM,1.0,4.0,2.0,3.0,1.0,2.0,2.0,1.0,4.0,5.0,2.0,40.0,1.0
2,2020,GTM,1.0,3.0,3.0,4.0,2.0,3.0,3.0,1.0,5.0,5.0,2.0,42.0,1.0
2,2020,GTM,1.0,4.0,2.0,3.0,2.0,3.0,3.0,5.0,5.0,6.0,2.0,40.0,1.0
2,2020,GTM,1.0,4.0,2.0,2.0,1.0,3.0,2.0,5.0,5.0,9.0,2.0,40.0,1.0
2,2020,GTM,1.0,4.0,3.0,2.0,1.0,3.0,1.0,5.0,5.0,6.0,2.0,46.0,1.0
2,2020,GTM,1.0,3.0,2.0,3.0,1.0,2.0,2.0,5.0,5.0,6.0,2.0,42.0,1.0
2,2020,GTM,1.0,4.0,3.0,3.0,2.0,3.0,3.0,1.0,1.0,6.0,2.0,42.0,1.0
2,2020,GTM,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,43.0,1.0
2,2020,GTM,2.0,4.0,4.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,2.0,49.0,1.0
2,2020,GTM,1.0,3.0,2.0,4.0,2.0,4.0,3.0,5.0,5.0,5.0,2.0,42.0,1.0
2,2020,GTM,1.0,4.0,2.0,3.0,1.0,1.0,1.0,5.0,5.0,6.0,2.0,41.0,1.0
2,2020,GTM,1.0,4.0,3.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,2.0,44.0,1.0
2,2020,GTM,1.0,4.0,1.0,2.0,2.0,2.0,2.0,4.0,4.0,7.0,2.0,40.0,1.0
2,2020,GTM,1.0,3.0,2.0,3.0,1.0,3.0,1.0,1.0,5.0,6.0,2.0,46.0,1.0
2,2020,GTM,1.0,4.0,3.0,3.0,2.0,2.0,2.0,5.0,5.0,8.0,2.0,43.0,1.0
2,2020,GTM,1.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,10.0,2.0,45.0,1.0
2,2020,GTM,1.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,10.0,2.0,45.0,1.0
2,2020,GTM,1.0,4.0,1.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,2.0,41.0,1.0
2,2020,GTM,1.0,3.0,2.0,3.0,2.0,2.0,2.0,5.0,5.0,7.0,2.0,43.0,1.0
2,2020,GTM,1.0,3.0,2.0,2.0,1.0,1.0,1.0,5.0,5.0,7.0,2.0,42.0,1.0
2,2020,GTM,1.0,3.0,2.0,3.0,2.0,3.0,3.0,5.0,5.0,5.0,2.0,42.0,1.0
2,2020,GTM,1.0,4.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,48.0,1.0
2,2020,GTM,1.0,4.0,1.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,2.0,41.0,1.0
2,2020,GTM,1.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,5.0,7.0,2.0,46.0,1.0
2,2020,GTM,1.0,4.0,2.0,3.0,1.0,3.0,2.0,2.0,5.0,10.0,2.0,49.0,1.0
2,2020,GTM,1.0,4.0,3.0,3.0,2.0,2.0,2.0,4.0,4.0,10.0,2.0,44.0,1.0
2,2020,GTM,1.0,,,,,,,5.0,5.0,8.0,2.0,48.0,1.0
2,2020,GTM,1.0,4.0,4.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,2.0,47.0,1.0
2,2020,GTM,1.0,4.0,2.0,2.0,1.0,1.0,1.0,4.0,5.0,6.0,2.0,49.0,1.0
2,2020,GTM,1.0,4.0,3.0,3.0,2.0,2.0,2.0,4.0,4.0,10.0,2.0,44.0,1.0
2,2020,GTM,1.0,3.0,1.0,2.0,1.0,2.0,1.0,5.0,5.0,10.0,2.0,47.0,1.0
2,2020,GTM,1.0,4.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,9.0,2.0,42.0,1.0
2,2020,GTM,1.0,4.0,3.0,,2.0,2.0,2.0,5.0,5.0,5.0,2.0,44.0,1.0
2,2020,GTM,1.0,4.0,3.0,3.0,1.0,3.0,3.0,5.0,5.0,4.0,2.0,42.0,1.0
2,2020,GTM,1.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,44.0,1.0
2,2020,GTM,1.0,4.0,2.0,3.0,1.0,3.0,2.0,1.0,5.0,3.0,2.0,40.0,1.0
2,2020,GTM,1.0,3.0,2.0,3.0,2.0,3.0,3.0,5.0,5.0,1.0,2.0,42.0,1.0
2,2020,GTM,2.0,4.0,3.0,3.0,2.0,1.0,1.0,3.0,5.0,10.0,2.0,44.0,1.0
2,2020,GTM,1.0,4.0,3.0,4.0,1.0,2.0,2.0,5.0,5.0,5.0,2.0,46.0,1.0
2,2020,GTM,1.0,4.0,1.0,2.0,1.0,2.0,2.0,3.0,3.0,5.0,2.0,47.0,1.0
2,2020,GTM,1.0,3.0,2.0,3.0,1.0,2.0,2.0,5.0,5.0,5.0,2.0,40.0,1.0
2,2020,GTM,1.0,4.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,2.0,49.0,1.0
2,2020,GTM,1.0,3.0,2.0,3.0,1.0,2.0,2.0,5.0,5.0,4.0,2.0,40.0,1.0
2,2020,GTM,2.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1.0,5.0,2.0,47.0,1.0
2,2020,GTM,1.0,3.0,2.0,4.0,3.0,1.0,3.0,5.0,5.0,3.0,2.0,47.0,1.0
2,2020,GTM,1.0,4.0,3.0,3.0,1.0,1.0,1.0,5.0,5.0,6.0,2.0,48.0,1.0
2,2020,GTM,1.0,4.0,3.0,2.0,1.0,2.0,1.0,4.0,4.0,8.0,2.0,40.0,1.0
2,2020,GTM,1.0,3.0,1.0,2.0,1.0,3.0,3.0,5.0,5.0,1.0,2.0,43.0,1.0
2,2020,GTM,1.0,3.0,1.0,1.0,1.0,2.0,2.0,5.0,5.0,7.0,2.0,40.0,1.0
2,2020,GTM,1.0,4.0,1.0,2.0,1.0,2.0,1.0,,5.0,7.0,2.0,46.0,1.0
2,2020,GTM,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,2.0,43.0,1.0
2,2020,GTM,1.0,4.0,3.0,3.0,1.0,1.0,1.0,5.0,5.0,6.0,2.0,47.0,2.0
2,2020,GTM,1.0,4.0,3.0,3.0,1.0,2.0,2.0,5.0,5.0,5.0,2.0,44.0,1.0
2,2020,GTM,1.0,4.0,2.0,2.0,2.0,,2.0,5.0,5.0,10.0,2.0,42.0,1.0
2,2020,GTM,1.0,4.0,3.0,2.0,2.0,3.0,3.0,5.0,5.0,5.0,2.0,41.0,1.0
2,2020,GTM,1.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,2.0,42.0,1.0
2,2020,GTM,1.0,4.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,10.0,2.0,44.0,1.0
2,2020,GTM,1.0,4.0,4.0,4.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,41.0,1.0
2,2020,GTM,1.0,4.0,2.0,4.0,1.0,1.0,1.0,5.0,5.0,5.0,2.0,46.0,1.0
2,2020,GTM,1.0,4.0,3.0,4.0,1.0,1.0,1.0,5.0,5.0,1.0,2.0,48.0,1.0
2,2020,GTM,1.0,3.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,5.0,2.0,69.0,1.0
2,2020,GTM,1.0,4.0,3.0,3.0,2.0,3.0,3.0,5.0,5.0,5.0,2.0,65.0,2.0
2,2020,GTM,1.0,4.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,10.0,2.0,75.0,1.0
2,2020,GTM,1.0,3.0,,3.0,3.0,3.0,3.0,1.0,1.0,5.0,2.0,74.0,1.0
2,2020,GTM,2.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,77.0,1.0
2,2020,GTM,1.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,5.0,2.0,61.0,1.0
2,2020,GTM,1.0,4.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,81.0,1.0
2,2020,GTM,1.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,5.0,2.0,70.0,
2,2020,GTM,1.0,4.0,2.0,3.0,2.0,3.0,2.0,5.0,5.0,10.0,2.0,64.0,1.0
2,2020,GTM,1.0,4.0,3.0,4.0,1.0,2.0,1.0,1.0,1.0,5.0,2.0,69.0,1.0
2,2020,GTM,1.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,5.0,2.0,60.0,1.0
2,2020,GTM,1.0,4.0,4.0,4.0,3.0,2.0,3.0,5.0,5.0,5.0,2.0,64.0,1.0
2,2020,GTM,1.0,4.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,72.0,1.0
2,2020,GTM,1.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,5.0,2.0,60.0,1.0
2,2020,GTM,1.0,4.0,3.0,3.0,2.0,2.0,2.0,4.0,4.0,8.0,2.0,68.0,1.0
2,2020,GTM,1.0,4.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,7.0,2.0,64.0,1.0
2,2020,GTM,2.0,4.0,3.0,3.0,2.0,2.0,3.0,1.0,5.0,4.0,2.0,61.0,1.0
2,2020,GTM,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,6.0,2.0,64.0,1.0
2,2020,GTM,2.0,4.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,7.0,2.0,79.0,1.0
2,2020,GTM,1.0,4.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,5.0,2.0,74.0,1.0
2,2020,GTM,1.0,4.0,4.0,4.0,3.0,4.0,3.0,5.0,5.0,7.0,2.0,70.0,1.0
2,2020,GTM,1.0,4.0,3.0,4.0,3.0,3.0,3.0,1.0,1.0,3.0,2.0,74.0,1.0
2,2020,GTM,1.0,4.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,9.0,2.0,60.0,1.0
2,2020,GTM,1.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,2.0,76.0,1.0
2,2020,GTM,1.0,4.0,3.0,3.0,2.0,3.0,3.0,1.0,1.0,3.0,2.0,67.0,1.0
2,2020,GTM,1.0,,,,,,,,,5.0,2.0,64.0,1.0
2,2020,GTM,1.0,4.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,10.0,2.0,77.0,1.0
2,2020,GTM,1.0,4.0,3.0,2.0,1.0,1.0,1.0,5.0,5.0,5.0,2.0,82.0,1.0
2,2020,GTM,1.0,4.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,66.0,1.0
2,2020,GTM,1.0,4.0,3.0,3.0,2.0,3.0,3.0,5.0,5.0,4.0,2.0,66.0,1.0
